num,title,description,format,status,AdDate,category,category1,category1_desc,category2,category2_desc,category3,category3_desc,Code,Campaign,Objective,Budget,Product,Start_Date,End_Date,Audience_Interest,Audience_Segment,Client,Client_Budget,City
1010,Foodie Fiesta: Indulge in Culinary Delights!,"Treat your furry friends to a paradise with Pet Paradise. Explore exclusive offers on pet treats, toys, and accessories!",Sponsored Content,Draft,2018-11-01,"['Toys', 'Outdoor', 'Water Toys']",Toys,Bring joy to your little ones with our selection of educational and entertaining toys.,Outdoor,Embrace the great outdoors with our outdoor gear and essentials for camping and hiking.,Water Toys,Make a splash and create lasting memories with our fun water toys.,400000 HolidaySpecial 2023-08-20,HolidaySpecial,Create excitement for holiday shopping,500000,Zaragoza Backpack  165.64 Multi-Compartment,2023-08-20,2024-08-20,Tech - Gadgets,20-40,Salazar & Asociados S.Com.,803000,"Badajoz, Spain"
1011,Autumn Vibes: Cozy Up with Fall Essentials!,Fall in love with fall fashion! Explore our latest collection and stay on-trend with cozy and stylish fall essentials.,In-App Ads,Cancelled,2024-07-08,"['Electronics', 'Smartwatches']",Electronics,Stay connected and updated with cutting-edge electronic gadgets and devices.,Smartwatches,Stay connected and monitor your health with our innovative smartwatches.,,,285000 SpringSale2024 2018-09-10,SpringSale2024,Boost sales during spring season,150000,Zaragoza Shorts 2XL 70.98  Winter Cotton,2018-09-10,2019-09-10,Fashion - Shopping,18-35,Vendrell y asociados S.A.,470000,"Pontevedra, Spain"
1012,"New Year, New Savings: Kickstart 2024!",Game On! Level up your gaming experience with our latest releases and exclusive gaming deals!,Native Ads,Expired,2022-04-02,"['Automotive', 'Maintenance', 'Oil Changes']",Automotive,Maintain and accessorize your vehicle with our automotive parts and accessories.,Maintenance,Ensure the longevity of your vehicle with our reliable maintenance products.,Oil Changes,Ensure the health of your vehicle with regular and efficient oil changes.,460000 GadgetGalaxy 2020-09-19,GadgetGalaxy,Promote latest gadgets and tech,500000,Rayo Vallecano Cap M Official 31.32 UV Protection,2020-09-19,2022-09-19,Outdoor Activities - Fitness,18-40,Distribuciones VL S.Coop.,527000,"Navarra, Spain"
1013,Fall Fashion Frenzy: Embrace the Season!,Embrace the fall season with our Fall Fashion Frenzy. Stay on trend and cozy up with our stylish fall essentials!,In-App Ads,Paused,2023-11-19,"['Clothing', ""Children's Clothing"", 'Teens', 'T-Shirts']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Children's Clothing,Dress your little ones in stylish and comfortable clothing designed for every age.,Teens,Discover trendy and comfortable clothing options for teenagers.,60000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Burgos Jersey 3XL 124.98  Summer Blend,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1014,Friday Frenzy: Flash Deals for 24 Hours Only!,Flash Friday Sale is here! Enjoy massive discounts for 24 hours only. Act fast and grab the hottest deals before they're gone!,Interactive Ads,Pending Approval,2021-04-22,"['Clothing', 'Accessories', 'Hats']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Accessories,"Complete your look with our fashionable accessories, from hats to scarves.",Hats,Top off your look with our stylish and functional hats for every occasion.,410000 CozyComforts 2022-04-22,CozyComforts,Promote cozy and comfortable items,50000,Granada Jersey L Official 49.99  All Seasons Polyester,2022-04-22,2024-04-22,Science Fiction - Technology,15-35,Desarrollo del Mediterráneo S.L.N.E,717000,"Málaga, Spain"
1015,Warm Up Your Winter: Cozy Comforts Await!,Cozy up with our collection of warm and comfortable essentials. Embrace the chill with our cozy comfort products!,Rich Media Ads,Completed,2022-10-05,"['Books', 'Non-Fiction', 'Biography']",Books,Immerse yourself in captivating stories and gain knowledge with our diverse collection of books.,Non-Fiction,Expand your knowledge and insights with our thought-provoking non-fiction books.,Biography,Gain insights into the lives of inspiring individuals with our collection of biographies.,245000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Fuenlabrada Coat XL Official 359.64  Winter Cotton,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1016,Warm Up Your Winter: Cozy Comforts Await!,Cozy up with our collection of warm and comfortable essentials. Embrace the chill with our cozy comfort products!,Affiliate Marketing,Cancelled,2022-01-13,"['Toys', 'Outdoor', 'Water Toys']",Toys,Bring joy to your little ones with our selection of educational and entertaining toys.,Outdoor,Embrace the great outdoors with our outdoor gear and essentials for camping and hiking.,Water Toys,Make a splash and create lasting memories with our fun water toys.,85000 AdventureAwaits 2022-07-27,AdventureAwaits,Encourage adventure-themed purchases,14000,Granada Boots 2XL Official 79.99 Football  Waterproof Lace-up,2022-07-27,2024-07-27,Family - Parenting,25-45,Servicios TWIB S.Com.,864000,"Toledo, Spain"
1017,"Hot Picks: Red-Hot Savings, Cool Prices!",Sizzle with savings at our event! The hottest deals on a variety of products. Shop now and make your wallet happy!,Pop-up Ads,Suspended,2022-05-10,"['Toys', 'Educational', 'STEM']",Toys,Bring joy to your little ones with our selection of educational and entertaining toys.,Educational,Encourage learning through play with our educational toys and games.,STEM,Encourage STEM education and curiosity with our selection of STEM toys.,490000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Rayo Vallecano Polo Shirt 3XL 54.82  All Seasons Polyester,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1018,Year-End Clearance Extravaganza!,Bid farewell to the year with our Year-End Clearance Extravaganza. Grab incredible deals on a wide range of products!,Pop-up Ads,Scheduled,2017-12-31,"['Clothing', ""Children's Clothing"", 'Infants', 'Onesies']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Children's Clothing,Dress your little ones in stylish and comfortable clothing designed for every age.,Infants,Dress your littlest ones in adorable and comfortable clothing for infants.,125000 GadgetGalaxy 2020-09-19,GadgetGalaxy,Promote latest gadgets and tech,500000,Las Palmas Cap L Official 42.65 UV Protection,2020-09-19,2022-09-19,Outdoor Activities - Fitness,18-40,Distribuciones VL S.Coop.,527000,"Navarra, Spain"
1019,Jet Set Go: Travel Essentials at Unbeatable Prices!,Plan your next escape with Travel Treats! Explore exclusive discounts on travel essentials and accessories. Bon voyage!,Affiliate Marketing,Draft,2024-11-07,"['Toys', 'Outdoor', 'Water Toys']",Toys,Bring joy to your little ones with our selection of educational and entertaining toys.,Outdoor,Embrace the great outdoors with our outdoor gear and essentials for camping and hiking.,Water Toys,Make a splash and create lasting memories with our fun water toys.,135000 GadgetGalaxy 2020-09-19,GadgetGalaxy,Promote latest gadgets and tech,500000,Tenerife Jersey XS 76.65  Summer Blend,2020-09-19,2022-09-19,Outdoor Activities - Fitness,18-40,Distribuciones VL S.Coop.,527000,"Navarra, Spain"
1020,Friday Frenzy: Flash Deals for 24 Hours Only!,Flash Friday Sale is here! Enjoy massive discounts for 24 hours only. Act fast and grab the hottest deals before they're gone!,In-App Ads,Completed,2017-11-10,"['Toys', 'Outdoor', 'Water Toys']",Toys,Bring joy to your little ones with our selection of educational and entertaining toys.,Outdoor,Embrace the great outdoors with our outdoor gear and essentials for camping and hiking.,Water Toys,Make a splash and create lasting memories with our fun water toys.,500000 FallFashionFrenzy 2023-10-24,FallFashionFrenzy,Highlight fall fashion trends,30000,Real Betis Pencil Case  34.64 Ink Compartment,2023-10-24,2025-10-24,Foodie - Cooking,18-50,Ramirez y Olivera S.C.P,628000,"Girona, Spain"
1021,Explore the Unknown: Adventure Awaits You!,"Embark on a new adventure with our specially curated products. Adventure Awaits – explore, experience, and enjoy!",Chatbot Ads,Cancelled,2024-06-12,"['Clothing', 'Accessories', 'Hats']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Accessories,"Complete your look with our fashionable accessories, from hats to scarves.",Hats,Top off your look with our stylish and functional hats for every occasion.,440000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Girona Pencil Case  14.72 Ink Compartment,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1022,Summer Splurge: Treat Yourself to Luxe!,"Dive into summer savings with our unbeatable deals. From fashion to electronics, discover the ultimate summer shopping experience!",In-App Ads,Cancelled,2021-10-13,"['Clothing', ""Children's Clothing"", 'Toddlers', 'Dresses']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Children's Clothing,Dress your little ones in stylish and comfortable clothing designed for every age.,Toddlers,Explore adorable clothing and essentials designed for toddlers.,50000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Alavés Coat M Official 268.65  Winter Cotton,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1023,Gizmo Gala: Exclusive Tech Extravaganza!,"Tech enthusiasts, rejoice! Tech Tuesday brings you exclusive offers on the latest gadgets and electronics. Don't miss out!",Sponsored Content,Scheduled,2021-11-16,"['Home', 'Decor']",Home,Create a cozy and welcoming home with our premium home decor and essentials for every room.,Decor,Transform your living space with our decorative items and home accents.,,,315000 FlashFriday 2022-10-05,FlashFriday,Create urgency with flash sales,20000,Albacete Shorts XL Official 43.99  Winter Cotton,2022-10-05,2023-10-05,Mindfulness - Self-Care,20-45,Luna y Guitart S.L.U.,411000,"Badajoz, Spain"
1024,Gadget Galore: Unbox the Latest Innovations!,Gadget Galaxy is calling! Discover the latest gadgets and tech innovations at irresistible prices. Upgrade your tech game today!,Social Media Ads,Active,2021-02-13,"['Books', 'Non-Fiction', 'Biography']",Books,Immerse yourself in captivating stories and gain knowledge with our diverse collection of books.,Non-Fiction,Expand your knowledge and insights with our thought-provoking non-fiction books.,Biography,Gain insights into the lives of inspiring individuals with our collection of biographies.,100000 SpringSale2024 2018-09-10,SpringSale2024,Boost sales during spring season,150000,Real Sociedad B Backpack  123.65 Multi-Compartment,2018-09-10,2019-09-10,Fashion - Shopping,18-35,Vendrell y asociados S.A.,470000,"Pontevedra, Spain"
1025,Autumn Vibes: Cozy Up with Fall Essentials!,Fall in love with fall fashion! Explore our latest collection and stay on-trend with cozy and stylish fall essentials.,Audio Ads,Paused,2020-05-04,"['Beauty', 'Haircare', 'Conditioners', 'Hydrating']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Conditioners,Keep your hair silky-smooth with our hydrating and nourishing hair conditioners.,325000 BackToSchoolDeals 2022-05-29,BackToSchoolDeals,Attract students with special deals,300000,Fuenlabrada Ball  69.14,2022-05-29,2022-08-29,Pets - Pet Care,30-60,Melero y Ruano S.A.,791000,"Navarra, Spain"
1026,Pet Paradise: Treat Your Furry Friends!,Explore the digital world with Digital Discoveries. Stay updated with the latest in technology and digital innovations!,Search Ads,Pending Approval,2021-03-24,"['Beauty', 'Haircare', 'Shampoos', 'Volumizing']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Shampoos,Revitalize your hair with our specially formulated shampoos for different hair types.,250000 SizzlingSavings 2020-11-20,SizzlingSavings,Offer hot deals on a variety of products,500000,Albacete Goalkeeper Gloves 2XL 131.99,2020-11-20,2025-11-20,Art - Creativity,20-50,Serra y asociados S.Coop.,620000,"Zaragoza, Spain"
1027,Year-End Clearance Extravaganza!,Bid farewell to the year with our Year-End Clearance Extravaganza. Grab incredible deals on a wide range of products!,Interactive Ads,Expired,2023-07-07,"['Home', 'Decor']",Home,Create a cozy and welcoming home with our premium home decor and essentials for every room.,Decor,Transform your living space with our decorative items and home accents.,,,130000 HolidaySpecial 2023-08-20,HolidaySpecial,Create excitement for holiday shopping,500000,Mallorca Ball  42.48,2023-08-20,2024-08-20,Tech - Gadgets,20-40,Salazar & Asociados S.Com.,803000,"Badajoz, Spain"
1028,Mindful Moments: Find Your Inner Peace!,Find your inner peace with Mindful Moments. Explore products that promote mindfulness and relaxation!,Social Media Ads,Scheduled,2020-03-29,"['Beauty', 'Haircare', 'Conditioners', 'Hydrating']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Conditioners,Keep your hair silky-smooth with our hydrating and nourishing hair conditioners.,55000 FoodieFiesta 2021-07-20,FoodieFiesta,Culinary delights and food promotions,900000,Huesca Shorts S 32.99  Winter Cotton,2021-07-20,2022-07-20,Sports - Fitness,18-40,Comercial Globales S.C.P,876000,"Valencia, Spain"
1029,Adventure Awaits: Explore New Horizons!,Embark on a new adventure with Adventure Awaits. Explore new horizons with our specially curated adventure-themed products!,Banner Ads,Completed,2017-09-29,"['Clothing', 'Accessories', 'Scarves']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Accessories,"Complete your look with our fashionable accessories, from hats to scarves.",Scarves,Wrap up in style with our collection of cozy and fashionable scarves.,495000 BackToSchoolDeals 2022-05-29,BackToSchoolDeals,Attract students with special deals,300000,Alavés Jersey M 103.31  All Seasons Polyester,2022-05-29,2022-08-29,Pets - Pet Care,30-60,Melero y Ruano S.A.,791000,"Navarra, Spain"
1030,Warm Up Your Winter: Cozy Comforts Await!,Cozy up with our collection of warm and comfortable essentials. Embrace the chill with our cozy comfort products!,Influencer Marketing,Suspended,2024-02-14,"['Beauty', 'Haircare', 'Shampoos', 'Volumizing']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Shampoos,Revitalize your hair with our specially formulated shampoos for different hair types.,445000 MindfulMoments 2021-09-24,MindfulMoments,Promote mindfulness and relaxation,12000,Tenerife Coat L Official 199.32  Winter Cotton,2021-09-24,2023-09-24,Reading - Education,20-60,Tecnologías Peinado S.A.,490000,"Sevilla, Spain"
1031,Mindful Living: Elevate Your Lifestyle!,Find your moment of calm with Mindful Moments. Discover products that promote relaxation and mindfulness. Your tranquility awaits!,Virtual Reality Ads,Scheduled,2024-07-08,"['Home', 'Kitchen', 'Appliances', 'Coffee Makers']",Home,Create a cozy and welcoming home with our premium home decor and essentials for every room.,Kitchen,Equip your kitchen with top-quality cookware and appliances for a culinary haven.,Appliances,Upgrade your kitchen with innovative and efficient kitchen appliances.,400000 WellnessWeek 2023-11-20,WellnessWeek,Emphasize wellness and self-care,50000,Osasuna Ball  29.16,2023-11-20,2024-01-20,Digital Marketing - Business,25-55,Lozano y asociados S.A.,161000,"Lleida, Spain"
1032,Celebrate the Holidays with Special Discounts!,Join the festive celebration with our special holiday discounts. Make your holidays extra special with our exclusive offers!,Carousel Ads,Paused,2024-07-21,"['Electronics', 'Audio', 'Earbuds']",Electronics,Stay connected and updated with cutting-edge electronic gadgets and devices.,Audio,"Immerse yourself in superior audio quality with our collection of headphones, speakers, and soundbars.",Earbuds,Immerse yourself in music and calls with our comfortable and high-quality earbuds.,230000 TravelTreats 2020-04-18,TravelTreats,Encourage travel-related purchases,100000,Málaga Boots 2XL 207.97 Football  Waterproof Lace-up,2020-04-18,2022-04-18,Music - Entertainment,18-40,Servicios Castellana S.A.,726000,"Madrid, Spain"
1033,"Hot Picks: Red-Hot Savings, Cool Prices!",Sizzle with savings at our event! The hottest deals on a variety of products. Shop now and make your wallet happy!,Virtual Reality Ads,Cancelled,2020-05-03,"['Beauty', 'Skincare', 'Moisturizers']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Skincare,Pamper your skin with our skincare products designed to enhance your natural beauty.,Moisturizers,Hydrate and nourish your skin with our range of moisturizers for every skin type.,445000 YearEndClearance 2023-08-20,YearEndClearance,Clear out year-end inventory,50000,Eldense Shorts S Official 81.97  Winter Cotton,2023-08-20,2024-08-20,Wellness - Fitness,22-50,Comercializadora Ayala S.Coop.,825000,"Zaragoza, Spain"
1034,"Wellness Wonderland: Healthier Choices, Happier You!",Take a break and focus on your well-being. Wellness Week brings you discounts on self-care products and more!,Display Ads,Suspended,2018-08-01,"['Beauty', 'Haircare', 'Conditioners', 'Hydrating']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Conditioners,Keep your hair silky-smooth with our hydrating and nourishing hair conditioners.,90000 GameOn 2021-03-31,GameOn,Encourage gaming enthusiasts,5500000,Atlético Madrid Goalkeeper Gloves L Official 149.98,2021-03-31,2021-11-30,Gardening - Outdoor,30-60,Construcción del Levante S.A.,311000,"Albacete, Spain"
1035,Gadget Galore: Unbox the Latest Innovations!,Gadget Galaxy is calling! Discover the latest gadgets and tech innovations at irresistible prices. Upgrade your tech game today!,Carousel Ads,Pending Approval,2024-11-05,"['Home', 'Decor']",Home,Create a cozy and welcoming home with our premium home decor and essentials for every room.,Decor,Transform your living space with our decorative items and home accents.,,,125000 TechTuesday 2022-08-22,TechTuesday,Showcase new tech products,500000,Villarreal B Shorts L 40.99  Winter Cotton,2022-08-22,2023-08-22,Gaming - Technology,15-35,Larrea y Cabrera S.Coop.,962000,"Huelva, Spain"
1036,Sizzling Savings Event: Shop Now and Save!,Sizzle with savings at our Sizzling Savings Event. Shop now and save big on a variety of products!,Carousel Ads,Scheduled,2020-07-16,"['Clothing', 'Accessories', 'Scarves']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Accessories,"Complete your look with our fashionable accessories, from hats to scarves.",Scarves,Wrap up in style with our collection of cozy and fashionable scarves.,360000 SpringSale2024 2018-09-10,SpringSale2024,Boost sales during spring season,150000,Celta Vigo Socks M 19.98 All sports  Sweet fit,2018-09-10,2019-09-10,Fashion - Shopping,18-35,Vendrell y asociados S.A.,470000,"Pontevedra, Spain"
1037,Sizzling Savings Event: Shop Now and Save!,Sizzle with savings at our Sizzling Savings Event. Shop now and save big on a variety of products!,Native Ads,Completed,2019-11-29,"['Books', 'Non-Fiction', 'Self-Help']",Books,Immerse yourself in captivating stories and gain knowledge with our diverse collection of books.,Non-Fiction,Expand your knowledge and insights with our thought-provoking non-fiction books.,Self-Help,Embark on a journey of personal growth with our empowering self-help books.,115000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Oviedo Coat 3XL 181.99  Winter Cotton,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1038,Gizmo Gala: Exclusive Tech Extravaganza!,"Tech enthusiasts, rejoice! Tech Tuesday brings you exclusive offers on the latest gadgets and electronics. Don't miss out!",In-App Ads,Completed,2017-10-01,"['Beauty', 'Haircare', 'Conditioners', 'Hydrating']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Conditioners,Keep your hair silky-smooth with our hydrating and nourishing hair conditioners.,475000 YearEndClearance 2023-08-20,YearEndClearance,Clear out year-end inventory,50000,Sevilla Polo Shirt M Official 68.81  All Seasons Polyester,2023-08-20,2024-08-20,Wellness - Fitness,22-50,Comercializadora Ayala S.Coop.,825000,"Zaragoza, Spain"
1039,"Hot Picks: Red-Hot Savings, Cool Prices!",Sizzle with savings at our event! The hottest deals on a variety of products. Shop now and make your wallet happy!,Video Ads,Scheduled,2024-01-10,"['Books', 'Non-Fiction', 'Self-Help']",Books,Immerse yourself in captivating stories and gain knowledge with our diverse collection of books.,Non-Fiction,Expand your knowledge and insights with our thought-provoking non-fiction books.,Self-Help,Embark on a journey of personal growth with our empowering self-help books.,50000 PetParadise 2017-12-21,PetParadise,Advertise pet-related products,50000,Ponferradina Jersey M Official 116.64  Summer Blend,2017-12-21,2018-12-21,Environment - Sustainability,20-50,Alimentación IXRU S.L.,871000,"Palencia, Spain"
1040,Gizmo Gala: Exclusive Tech Extravaganza!,"Tech enthusiasts, rejoice! Tech Tuesday brings you exclusive offers on the latest gadgets and electronics. Don't miss out!",Interstitial Ads,Completed,2023-01-07,"['Books', ""Children's Books"", 'Picture Books', 'Animals']",Books,Immerse yourself in captivating stories and gain knowledge with our diverse collection of books.,Children's Books,Spark the imagination of young readers with our engaging and delightful children's books.,Picture Books,Introduce young readers to the world of storytelling with our delightful picture books.,170000 TechTuesday 2022-08-22,TechTuesday,Showcase new tech products,500000,Alhama Ball  32.49,2022-08-22,2023-08-22,Gaming - Technology,15-35,Larrea y Cabrera S.Coop.,962000,"Huelva, Spain"
